time_sec,gps_recentLatitudeN,gps_recentLongitudeE,gps_horizontalAccuracy_mm,gps_verticalAccuracy_mm,gps_vehicleHeading_degs,gps_headingAccuracyEstimate_degs,compass_heading_degs
1686563019,13.6486727,100.4649133,14,10,341.57056,180,163.3
1686563020,13.6486727,100.4649133,14,10,341.57056,129.47668,163.3
1686563021,13.6486727,100.4649133,14,10,341.57056,180,163.3
1686563022,13.6486727,100.4649133,14,10,341.57056,180,163.3
1686563023,13.6486727,100.4649133,14,10,341.57056,150.52082,163.3
1686563024,13.6486727,100.4649133,14,10,341.57056,134.92838,163.3
1686563025,13.6486726,100.4649133,14,10,341.57056,155.17676,163.3
1686563026,13.6486727,100.4649133,14,10,341.57056,180,163.3
1686563027,13.6486727,100.4649133,14,10,341.57056,180,165.07
1686563028,13.6486726,100.4649134,14,16,341.57056,130.92978,163.3
1686563030,13.6486726,100.464913,14,10,341.57056,95.1303,163.3
1686563031,13.6486725,100.4649131,14,10,341.57056,180,163.3
1686563032,13.6486725,100.4649131,14,10,341.57056,180,163.3
1686563033,13.6486725,100.4649131,14,10,341.57056,180,163.3
1686563034,13.6486725,100.4649131,14,11,341.57056,180,165.07
1686563035,13.6486726,100.4649131,14,10,341.57056,136.031,163.3
1686563036,13.6486726,100.4649131,14,10,341.57056,140.65802,165.07
1686563037,13.6486726,100.4649131,14,10,341.57056,105.68322,165.07
1686563038,13.6486725,100.4649132,14,10,341.57056,180,163.3
1686563039,13.6486725,100.4649132,14,10,341.57056,180,163.3
1686563040,13.6486725,100.4649131,14,10,341.57056,180,163.3
1686563041,13.6486724,100.4649131,14,10,341.57056,180,163.3
1686563042,13.6486725,100.4649131,14,10,341.57056,115.93208,163.3
1686563043,13.6486724,100.4649131,14,10,341.57056,180,163.3
1686563044,13.6486724,100.4649131,14,10,341.57056,180,163.3
1686563046,13.6486724,100.4649131,14,10,341.57056,180,163.3
1686563047,13.6486724,100.4649132,14,10,341.57056,103.02086,163.3
1686563048,13.6486724,100.4649131,14,10,341.57056,180,163.3
1686563049,13.6486723,100.4649131,14,10,341.57056,180,162.76
1686563050,13.6486724,100.4649131,14,10,341.57056,180,162.76
1686563051,13.6486724,100.4649131,14,10,341.57056,180,163.3
1686563052,13.6486724,100.4649131,14,10,341.57056,180,163.3
1686563053,13.6486723,100.4649131,14,10,341.57056,180,163.3
1686563054,13.6486724,100.4649131,14,10,341.57056,177.4682,163.3
1686563055,13.648673,100.4649128,14,10,341.57056,180,165.53
1686563056,13.648673,100.4649129,14,10,341.57056,180,165.07
1686563057,13.6486731,100.4649129,14,10,341.57056,130.15626,166.87
